; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-200	-180	-190	27	27	2586	0.01044	0.01044	1.00000
-180	-160	-170	36	63	2559	0.01392	0.02436	0.98956
-160	-140	-150	100	163	2523	0.03867	0.06303	0.97564
-140	-120	-130	98	261	2423	0.03790	0.10093	0.93697
-120	-100	-110	146	407	2325	0.05646	0.15739	0.89907
-100	-80	-90	154	561	2179	0.05955	0.21694	0.84261
-80	-60	-70	194	755	2025	0.07502	0.29196	0.78306
-60	-40	-50	177	932	1831	0.06845	0.36040	0.70804
-40	-20	-30	143	1075	1654	0.05530	0.41570	0.63960
-20	0	-10	159	1234	1511	0.06148	0.47718	0.58430
0	20	10	140	1374	1352	0.05414	0.53132	0.52282
20	40	30	178	1552	1212	0.06883	0.60015	0.46868
40	60	50	209	1761	1034	0.08082	0.68097	0.39985
60	80	70	189	1950	825	0.07309	0.75406	0.31903
80	100	90	195	2145	636	0.07541	0.82947	0.24594
100	120	110	143	2288	441	0.05530	0.88476	0.17053
120	140	130	129	2417	298	0.04988	0.93465	0.11524
140	160	150	85	2502	169	0.03287	0.96752	0.06535
160	180	170	56	2558	84	0.02166	0.98917	0.03248
180	200	190	28	2586	28	0.01083	1.00000	0.01083
; Statistics:
; -----------
; class interval     	20
; classes            	20
; count              	2586
; sum                	10690
; mean               	4.1338
; median class       	[-20..0[
; var                	8.52e+03
; std                	92.2917
; min                	-194.5
; max                	193.5
; range              	388
; Host name	rsat
; Job started	2014-09-03.191247
; Job done	2014-09-03.191247
; Seconds	0.26
;	user	0.26
;	system	0.02
;	cuser	0
;	csystem	0
